来源名称,官网/栏目链接,来源类别,产业环节,优先级,采集方式
Data Center Knowledge,https://datacenterknowledge.com,能源·电力·数据中心,AI基础设施,★核心,官网/邮件订阅
中国信息通信研究院,https://www.caict.ac.cn,能源·电力·数据中心,AI基础设施,★核心,官网/邮件订阅
中国电力企业联合会,https://cec.org.cn,能源·电力·数据中心,能源,★核心,官网/数据库
国家电网；南方电网,https://www.sgcc.com.cn,能源·电力·数据中心,能源,★核心,官网/数据库
国际能源署 IEA,https://iea.org,能源·电力·数据中心,能源,★核心,官网/数据库
美国能源信息署 EIA,https://eia.gov,能源·电力·数据中心,能源,★核心,官网/数据库
微信公众号、视频号,https://mp.weixin.qq.com,舆情·社区·社交平台,全环节,★核心,平台API/人工（合规采集）
华尔街见闻,https://wallstreetcn.com,财经媒体,综合（算力/芯片全环节）,★核心,官网/RSS/人工
新浪财经,https://finance.sina.com.cn,财经媒体,综合（算力/芯片全环节）,★核心,官网/RSS/人工
证券时报,https://www.stcn.com,财经媒体,综合（算力/芯片全环节）,★核心,官网/RSS/人工
财联社,https://www.cls.cn,财经媒体,综合（算力/芯片全环节）,★核心,官网/RSS/人工
